"movie"	"profane"	"word"	"minutes_in"	"year"
"Reservoir Dogs"	"word"	"fucking"	20.96	1992
"Reservoir Dogs"	"word"	"asshole"	20.98	1992
"Reservoir Dogs"	"word"	"fuck"	21	1992
"Reservoir Dogs"	"word"	"fucking"	21.01	1992
"Reservoir Dogs"	"word"	"fuck"	21.2	1992
"Reservoir Dogs"	"word"	"fucking"	22.18	1992
"Reservoir Dogs"	"word"	"fuck"	22.21	1992
"Reservoir Dogs"	"word"	"motherfucker"	22.46	1992
"Reservoir Dogs"	"word"	"fuck"	22.6	1992
"Reservoir Dogs"	"word"	"goddamn"	22.71	1992
"Reservoir Dogs"	"word"	"ass"	22.8	1992
"Reservoir Dogs"	"word"	"fuck"	23	1992
"Reservoir Dogs"	"word"	"fucking"	23.2	1992
"Reservoir Dogs"	"word"	"assholes"	23.35	1992
"Reservoir Dogs"	"word"	"fucking"	24.01	1992
"Reservoir Dogs"	"word"	"fuck"	24.05	1992
"Reservoir Dogs"	"word"	"fucking"	24.6	1992
"Reservoir Dogs"	"word"	"fuck"	24.66	1992
"Reservoir Dogs"	"word"	"fucking"	24.76	1992
"Reservoir Dogs"	"word"	"fucking"	25.13	1992
"Reservoir Dogs"	"word"	"shit"	25.35	1992
"Reservoir Dogs"	"word"	"fuck"	25.45	1992
"Reservoir Dogs"	"word"	"fucking"	25.75	1992
"Reservoir Dogs"	"word"	"bullshit"	25.76	1992
"Reservoir Dogs"	"word"	"fucking"	26.01	1992
"Reservoir Dogs"	"word"	"fucking"	26.06	1992
"Reservoir Dogs"	"word"	"fucking"	26.16	1992
"Reservoir Dogs"	"word"	"fucking"	26.26	1992
"Reservoir Dogs"	"word"	"hell"	27.21	1992
"Reservoir Dogs"	"word"	"shit"	28.6	1992
"Reservoir Dogs"	"word"	"fucking"	28.6	1992
"Reservoir Dogs"	"word"	"fucking"	28.83	1992
"Reservoir Dogs"	"word"	"shit"	28.83	1992
"Reservoir Dogs"	"word"	"shit"	29.16	1992
"Reservoir Dogs"	"word"	"hell"	29.18	1992
"Reservoir Dogs"	"word"	"fucking"	31.13	1992
"Reservoir Dogs"	"word"	"fuck"	31.5	1992
"Reservoir Dogs"	"word"	"fucking"	31.6	1992
"Reservoir Dogs"	"word"	"fuck"	31.8	1992
"Reservoir Dogs"	"word"	"fuck"	31.81	1992
"Reservoir Dogs"	"word"	"fucking"	31.88	1992
"Reservoir Dogs"	"word"	"hell"	32.11	1992
"Reservoir Dogs"	"word"	"fucking"	32.43	1992
"Reservoir Dogs"	"word"	"fuck"	32.55	1992
"Reservoir Dogs"	"word"	"fucking"	32.58	1992
"Reservoir Dogs"	"word"	"shit"	32.6	1992
"Reservoir Dogs"	"word"	"fuck"	32.63	1992
"Reservoir Dogs"	"word"	"fucking"	32.7	1992
"Reservoir Dogs"	"word"	"shit"	32.91	1992
"Reservoir Dogs"	"word"	"asshole"	33.76	1992
"Reservoir Dogs"	"word"	"shit"	33.81	1992
"Reservoir Dogs"	"word"	"fucking"	33.9	1992
"Reservoir Dogs"	"word"	"fucking"	34.3	1992
"Reservoir Dogs"	"word"	"fuck"	34.38	1992
"Reservoir Dogs"	"word"	"fucking"	34.46	1992
"Reservoir Dogs"	"word"	"fucking"	34.56	1992
"Reservoir Dogs"	"word"	"fucking"	34.6	1992
"Reservoir Dogs"	"word"	"fuck"	34.71	1992
"Reservoir Dogs"	"word"	"fucking"	34.75	1992
"Reservoir Dogs"	"word"	"fuck"	34.85	1992
"Reservoir Dogs"	"word"	"asshole"	34.98	1992
"Reservoir Dogs"	"word"	"assholes"	35.48	1992
"Reservoir Dogs"	"word"	"fuck"	35.5	1992
"Reservoir Dogs"	"word"	"fucking"	35.6	1992
"Reservoir Dogs"	"word"	"fucking"	35.61	1992
"Reservoir Dogs"	"word"	"n-word"	35.61	1992
"Reservoir Dogs"	"word"	"n-word"	35.63	1992
"Reservoir Dogs"	"word"	"fucking"	35.71	1992
"Reservoir Dogs"	"word"	"fucking"	35.83	1992
"Reservoir Dogs"	"word"	"fuck"	35.88	1992
"Reservoir Dogs"	"word"	"asses"	35.95	1992
"Reservoir Dogs"	"word"	"fuck"	36.01	1992
"Reservoir Dogs"	"word"	"shit"	36.06	1992
"Reservoir Dogs"	"word"	"fucking"	36.11	1992
"Reservoir Dogs"	"word"	"fuck"	37.41	1992
"Reservoir Dogs"	"word"	"fucking"	37.48	1992
"Reservoir Dogs"	"word"	"fuck"	37.91	1992
"Reservoir Dogs"	"word"	"fucking"	39.06	1992
"Reservoir Dogs"	"word"	"asshole"	39.06	1992
"Reservoir Dogs"	"word"	"fucking"	39.18	1992
"Reservoir Dogs"	"word"	"hell"	39.46	1992
"Reservoir Dogs"	"word"	"hell"	39.6	1992
"Reservoir Dogs"	"word"	"bitch"	39.88	1992
"Reservoir Dogs"	"word"	"fucking"	40.13	1992
"Reservoir Dogs"	"word"	"ass"	40.15	1992
"Reservoir Dogs"	"word"	"ass"	40.3	1992
"Reservoir Dogs"	"word"	"fuckup"	40.48	1992
"Reservoir Dogs"	"word"	"shit"	40.96	1992
"Reservoir Dogs"	"word"	"fuck"	41.25	1992
"Reservoir Dogs"	"word"	"bastard"	41.3	1992
"Reservoir Dogs"	"word"	"fuck"	41.31	1992
"Reservoir Dogs"	"word"	"fuck"	41.43	1992
"Reservoir Dogs"	"word"	"fucking"	41.75	1992
"Reservoir Dogs"	"word"	"ass"	41.76	1992
"Reservoir Dogs"	"word"	"bitch"	41.85	1992
"Reservoir Dogs"	"word"	"fucking"	41.93	1992
"Reservoir Dogs"	"word"	"n-word"	41.93	1992
"Reservoir Dogs"	"word"	"ass"	42	1992
"Reservoir Dogs"	"word"	"fucking"	42.03	1992
"Reservoir Dogs"	"word"	"bitch"	42.11	1992
"Reservoir Dogs"	"word"	"bitch"	42.13	1992
"Reservoir Dogs"	"word"	"shit"	42.16	1992
"Reservoir Dogs"	"word"	"fuck"	42.55	1992
"Reservoir Dogs"	"word"	"motherfucker"	42.56	1992
"Reservoir Dogs"	"word"	"fucker"	42.6	1992
"Reservoir Dogs"	"word"	"shitty"	42.66	1992
"Reservoir Dogs"	"word"	"asshead"	42.86	1992
"Reservoir Dogs"	"word"	"fucking"	43.06	1992
"Reservoir Dogs"	"word"	"fucking"	43.31	1992
"Reservoir Dogs"	"word"	"shit"	43.35	1992
"Reservoir Dogs"	"word"	"fuck"	42.7	1992
"Reservoir Dogs"	"word"	"fuck"	42.71	1992
"Reservoir Dogs"	"word"	"shit"	43.86	1992
"Reservoir Dogs"	"word"	"fucking"	44	1992
"Reservoir Dogs"	"word"	"shit"	44.03	1992
"Reservoir Dogs"	"word"	"fucked"	44.65	1992
"Reservoir Dogs"	"word"	"fuck"	44.9	1992
"Reservoir Dogs"	"word"	"fucking"	45.26	1992
"Reservoir Dogs"	"word"	"damn"	45.4	1992
"Reservoir Dogs"	"word"	"fucking"	46.48	1992
"Reservoir Dogs"	"word"	"fuck"	46.53	1992
"Reservoir Dogs"	"word"	"fucking"	46.65	1992
"Reservoir Dogs"	"word"	"fucking"	46.66	1992
"Reservoir Dogs"	"word"	"fuck"	47.5	1992
"Reservoir Dogs"	"word"	"fucking"	47.51	1992
"Reservoir Dogs"	"word"	"fucking"	47.55	1992
"Reservoir Dogs"	"word"	"fucking"	47.7	1992
"Reservoir Dogs"	"word"	"fucking"	47.71	1992
"Reservoir Dogs"	"word"	"fucking"	47.73	1992
"Reservoir Dogs"	"word"	"fucking"	47.75	1992
"Reservoir Dogs"	"word"	"fucking"	47.8	1992
"Reservoir Dogs"	"word"	"fucking"	47.88	1992
"Reservoir Dogs"	"word"	"shit"	47.98	1992
"Reservoir Dogs"	"word"	"fucking"	48.08	1992
"Reservoir Dogs"	"word"	"bullshit"	48.15	1992
"Reservoir Dogs"	"word"	"fuck"	48.16	1992
"Reservoir Dogs"	"word"	"fucking"	48.25	1992
"Reservoir Dogs"	"word"	"fucking"	48.26	1992
"Reservoir Dogs"	"word"	"hell"	48.31	1992
"Reservoir Dogs"	"word"	"fucking"	48.38	1992
"Reservoir Dogs"	"word"	"fucking"	48.48	1992
"Reservoir Dogs"	"word"	"assholes"	48.48	1992
"Reservoir Dogs"	"word"	"asshole"	48.51	1992
"Reservoir Dogs"	"word"	"fucking"	48.55	1992
"Reservoir Dogs"	"word"	"fucking"	48.56	1992
"Reservoir Dogs"	"word"	"fucking"	48.58	1992
"Reservoir Dogs"	"word"	"fucking"	48.61	1992
"Reservoir Dogs"	"word"	"fucking"	48.78	1992
"Reservoir Dogs"	"word"	"fucking"	48.98	1992
"Reservoir Dogs"	"word"	"fucking"	49.06	1992
"Reservoir Dogs"	"word"	"fucking"	49.15	1992
"Reservoir Dogs"	"word"	"bastard"	49.61	1992
"Reservoir Dogs"	"word"	"fuck"	49.68	1992
"Reservoir Dogs"	"word"	"fucking"	49.7	1992
"Reservoir Dogs"	"word"	"goddamn"	49.75	1992
"Reservoir Dogs"	"word"	"fucking"	49.8	1992
"Reservoir Dogs"	"word"	"fucking"	49.9	1992
"Reservoir Dogs"	"word"	"fucking"	49.98	1992
"Reservoir Dogs"	"word"	"fucking"	50.51	1992
"Reservoir Dogs"	"word"	"bastard"	50.68	1992
"Reservoir Dogs"	"word"	"fucking"	50.76	1992
"Reservoir Dogs"	"word"	"motherfucker"	50.91	1992
"Reservoir Dogs"	"word"	"fucking"	51.08	1992
"Reservoir Dogs"	"word"	"fucking"	51.36	1992
"Reservoir Dogs"	"word"	"fucking"	51.51	1992
"Reservoir Dogs"	"word"	"fuck"	51.88	1992
"Reservoir Dogs"	"word"	"fucking"	51.98	1992
"Reservoir Dogs"	"word"	"fucking"	53.28	1992
"Reservoir Dogs"	"word"	"shit"	53.43	1992
"Reservoir Dogs"	"word"	"bitch"	53.93	1992
"Reservoir Dogs"	"word"	"bullshit"	54.25	1992
"Reservoir Dogs"	"word"	"fuck"	54.3	1992
"Reservoir Dogs"	"word"	"fuck"	56.73	1992
"Reservoir Dogs"	"FALSE"	NA	59.93	1992
"Reservoir Dogs"	"word"	"shit"	61	1992
"Reservoir Dogs"	"word"	"shit"	62.15	1992
"Reservoir Dogs"	"word"	"fuck"	62.28	1992
"Reservoir Dogs"	"word"	"fuck"	62.83	1992
"Reservoir Dogs"	"word"	"fuck"	62.91	1992
"Reservoir Dogs"	"word"	"fucking"	62.95	1992
"Reservoir Dogs"	"word"	"bastard"	62.95	1992
"Reservoir Dogs"	"word"	"fuck"	63.15	1992
"Reservoir Dogs"	"word"	"fucking"	63.21	1992
"Reservoir Dogs"	"word"	"fucking"	63.26	1992
"Reservoir Dogs"	"word"	"fucking"	63.3	1992
"Reservoir Dogs"	"word"	"fuck"	63.33	1992
"Reservoir Dogs"	"word"	"fuck"	63.35	1992
"Reservoir Dogs"	"word"	"fucking"	63.38	1992
"Reservoir Dogs"	"word"	"fucking"	62.41	1992
"Reservoir Dogs"	"word"	"pussy"	63.81	1992
"Reservoir Dogs"	"word"	"fucking"	63.91	1992
"Reservoir Dogs"	"word"	"motherfucker"	64.31	1992
"Reservoir Dogs"	"word"	"ass"	64.46	1992
"Reservoir Dogs"	"word"	"goddamn"	64.75	1992
"Reservoir Dogs"	"word"	"fucking"	64.76	1992
"Reservoir Dogs"	"word"	"motherfucker"	65.15	1992
"Reservoir Dogs"	"word"	"ass"	65.65	1992
"Reservoir Dogs"	"word"	"damned"	65.73	1992
"Reservoir Dogs"	"word"	"motherfucker"	65.76	1992
"Reservoir Dogs"	"word"	"ass"	65.76	1992
"Reservoir Dogs"	"word"	"fucking"	66.05	1992
"Reservoir Dogs"	"word"	"fucking"	66.35	1992
"Reservoir Dogs"	"word"	"fucking"	66.36	1992
"Reservoir Dogs"	"word"	"fucking"	66.46	1992
"Reservoir Dogs"	"word"	"fucking"	66.5	1992
"Reservoir Dogs"	"word"	"ass"	66.5	1992
"Reservoir Dogs"	"word"	"hell"	66.96	1992
"Reservoir Dogs"	"word"	"bullshit"	67.03	1992
"Reservoir Dogs"	"word"	"fucking"	67.21	1992
"Reservoir Dogs"	"word"	"fucking"	67.28	1992
"Reservoir Dogs"	"word"	"shit"	67.3	1992
"Reservoir Dogs"	"word"	"fucking"	67.48	1992
"Reservoir Dogs"	"word"	"shit"	67.88	1992
"Reservoir Dogs"	"word"	"motherfucker"	68.01	1992
"Reservoir Dogs"	"word"	"fucking"	68.66	1992
"Reservoir Dogs"	"word"	"fucking"	69.25	1992
"Reservoir Dogs"	"word"	"fuck"	69.28	1992
"Reservoir Dogs"	"word"	"shit"	69.3	1992
"Reservoir Dogs"	"word"	"bitch"	69.31	1992
"Reservoir Dogs"	"word"	"shit"	69.35	1992
"Reservoir Dogs"	"word"	"ass"	69.46	1992
"Reservoir Dogs"	"word"	"fucking"	69.48	1992
"Reservoir Dogs"	"word"	"fucking"	69.51	1992
"Reservoir Dogs"	"word"	"fucking"	69.53	1992
"Reservoir Dogs"	"word"	"motherfucker"	69.61	1992
"Reservoir Dogs"	"word"	"shit"	69.78	1992
"Reservoir Dogs"	"word"	"fucking"	69.86	1992
"Reservoir Dogs"	"word"	"ass"	69.88	1992
"Reservoir Dogs"	"word"	"fucking"	70.06	1992
"Reservoir Dogs"	"word"	"fucking"	71.63	1992
"Reservoir Dogs"	"word"	"fuck"	71.95	1992
"Reservoir Dogs"	"word"	"fucking"	72.16	1992
"Reservoir Dogs"	"word"	"fucking"	72.4	1992
"Reservoir Dogs"	"word"	"asshole"	72.58	1992
"Reservoir Dogs"	"word"	"fucking"	72.61	1992
"Reservoir Dogs"	"word"	"fucking"	72.95	1992
"Reservoir Dogs"	"word"	"bitch"	73.05	1992
"Reservoir Dogs"	"word"	"fucking"	73.28	1992
"Reservoir Dogs"	"word"	"fucking"	73.36	1992
"Reservoir Dogs"	"word"	"shit"	74.01	1992
"Reservoir Dogs"	"word"	"shit"	74.05	1992
"Reservoir Dogs"	"word"	"bitch"	74.4	1992
"Reservoir Dogs"	"word"	"shit"	74.43	1992
"Reservoir Dogs"	"word"	"motherfucker"	74.5	1992
"Reservoir Dogs"	"word"	"pussy"	76.13	1992
"Reservoir Dogs"	"word"	"shit"	76.2	1992
"Reservoir Dogs"	"word"	"fucking"	76.28	1992
"Reservoir Dogs"	"word"	"fucking"	76.3	1992
"Reservoir Dogs"	"word"	"bitch"	77.05	1992
"Reservoir Dogs"	"word"	"bitch"	77.06	1992
"Reservoir Dogs"	"word"	"fuck"	77.13	1992
"Reservoir Dogs"	"word"	"n-word"	77.25	1992
"Reservoir Dogs"	"word"	"shit"	77.28	1992
"Reservoir Dogs"	"word"	"n-word"	77.33	1992
"Reservoir Dogs"	"word"	"ass"	77.35	1992
"Reservoir Dogs"	"word"	"bitches"	77.36	1992
"Reservoir Dogs"	"word"	"fuck"	77.4	1992
"Reservoir Dogs"	"word"	"fucking"	78.01	1992
"Reservoir Dogs"	"word"	"fuck"	78.55	1992
"Reservoir Dogs"	"word"	"fucking"	78.6	1992
"Reservoir Dogs"	"word"	"wetback"	78.95	1992
"Reservoir Dogs"	"word"	"shit"	79.1	1992
"Reservoir Dogs"	"word"	"fucking"	79.11	1992
"Reservoir Dogs"	"word"	"shit"	79.36	1992
"Reservoir Dogs"	"word"	"fucking"	79.4	1992
